,player_name,player_birth,player_physical,player_no,player_position,player_exprience,player_payment,player_salaly,player_draft,player_join
10005,차영화,1957년 06월 27일,178cm/82kg,82,(우투우타),서림초-전남중-광주제일고-동신전문대-해태,,,,82해태
10082,황태환,1952년 08월 06일,0cm/0kg,,투수(좌투좌타),한양대,,,,
10182,황기선,1958년 06월 02일,0cm/0kg,,투수(우투우타),유한공고,,,,
20001,우용득,1950년 02월 13일,172cm/83kg,89,(우투우타),대구상고-삼성,,,,
20002,조창수,1900년 01월 01일,0cm/0kg,,(),,,,,
20003,김광현,1988년 07월 22일,188cm/88kg,29,투수(좌투좌타),,,,,
20006,김상수,1990년 03월 23일,175cm/68kg,7,내야수(우투우타),,,,,
20007,김재호,1985년 03월 21일,181cm/75kg,52,내야수(우투우타),,,,,
20010,김현수,1988년 01월 12일,188cm/100kg,50,외야수(우투좌타),,,,,
20011,나성범,1989년 10월 03일,183cm/100kg,17,외야수(좌투좌타),,,,,
20013,민병헌,1989년 03월 10일,178cm/78kg,49,외야수(우투우타),,,,,
20014,박병호,1986년 07월 10일,185cm/107kg,3,내야수(우투우타),,,,,
20016,손아섭,1988년 03월 18일,174cm/88kg,31,외야수(우투좌타),,,,,
20018,심창민,1993년 02월 01일,185cm/86kg,55,투수(우언우타),,,,,
20020,양의지,1987년 06월 05일,179cm/85kg,25,포수(우투우타),,,,,
20022,오재원,1985년 02월 09일,185cm/80kg,24,내야수(우투좌타),,,,,
20023,우규민,1985년 01월 21일,184cm/75kg,22,투수(우투우타),,,,,
20024,이대은,1989년 03월 23일,189cm/90kg,11,투수(우투좌타),,,,,
20025,이대호,1982년 06월 21일,194cm/130kg,10,내야수(우투우타),,,,,
20026,이용규,1985년 08월 26일,175cm/70kg,15,외야수(좌투좌타),,,,,
20027,이태양,1993년 01월 28일,183cm/82kg,19,투수(우투좌타),,,,,
20028,이현승,1983년 10월 11일,179cm/87kg,48,투수(좌투좌타),,,,,
20029,임창민,1985년 08월 25일,183cm/85kg,45,투수(우투우타),,,,,
20030,장원준,1985년 07월 31일,184cm/85kg,28,투수(좌투좌타),,,,,
20031,정근우,1982년 10월 02일,172cm/80kg,8,내야수(우투우타),,,,,
20032,정대현,1978년 11월 10일,184cm/104kg,38,투수(우투우타),,,,,
20033,정우람,1985년 06월 01일,181cm/82kg,57,투수(좌투좌타),,,,,
20034,조무근,1991년 09월 26일,198cm/116kg,67,투수(우투우타),,,,,
20035,조상우,1994년 09월 04일,186cm/97kg,42,투수(우투우타),,,,,
20036,차우찬,1987년 05월 31일,184cm/74kg,23,투수(좌투좌타),,,,,
20038,허경민,1990년 08월 26일,176cm/69kg,14,내야수(우투우타),,,,,
20040,황재균,1987년 07월 28일,183cm/90kg,16,내야수(우투우타),,,,,
20041,구리엘,1993년 10월 10일,192cm/83kg,19,외야수(우투우타),,,,,
20042,구리엘,1984년 06월 09일,184cm/89kg,10,내야수(우투우타),,,,,
20043,구리엘,1982년 02월 17일,182cm/83kg,20,내야수(우투우타),,,,,
20044,가르시아,1981년 02월 23일,189cm/85kg,99,투수(우투우타),,,,,
20045,곤잘레스,1979년 10월 10일,184cm/98kg,33,투수(좌투좌타),,,,,
20046,그라시알,1985년 10월 14일,185cm/88kg,47,내야수(우투우타),,,,,
20047,데스파이그네,1986년 06월 17일,175cm/95kg,54,외야수(우투우타),,,,,
20048,레이에스,1979년 11월 05일,190cm/95kg,50,내야수(우투우타),,,,,
20049,마르티네스,1978년 06월 22일,181cm/84kg,27,투수(우투우타),,,,,
20050,마르티네스,1996년 03월 21일,173cm/73kg,71,외야수(좌투좌타),,,,,
20051,만둘레이,1986년 02월 09일,175cm/78kg,42,내야수(우투우타),,,,,
20052,마예타,1977년 02월 22일,186cm/100kg,55,내야수(좌투좌타),,,,,
20053,멘도사,1994년 05월 03일,190cm/80kg,34,투수(우투우타),,,,,
20054,모레혼,1986년 01월 25일,176cm/90kg,45,포수(우투우타),,,,,
20055,모이넬로,1995년 12월 08일,178cm/69kg,89,투수(좌투좌타),,,,,
20056,몬티에트,1985년 01월 11일,185cm/91kg,28,투수(우투우타),,,,,
20057,바스케스,1990년 05월 20일,175cm/105kg,31,포수(우투우타),,,,,
20058,베탄쿠르트,1981년 05월 27일,181cm/85kg,53,투수(우투우타),,,,,
20059,보로토,1965년 02월 06일,177cm/90kg,35,내야수(우투우타),,,,,
20061,산토야,1987년 01월 24일,187cm/85kg,24,내야수(우투우타),,,,,
20062,알라르콘,1984년 10월 15일,187cm/95kg,11,포수(우투우타),,,,,
20063,알바레스,1989년 04월 29일,182cm/99kg,15,투수(우투우타),,,,,
20064,에르난데스,1982년 07월 17일,185cm/94kg,18,외야수(좌투좌타),,,,,
20065,예라,1989년 10월 18일,170cm/75kg,58,투수(좌투좌타),,,,,
20066,카노,1994년 03월 09일,184cm/80kg,29,투수(우투우타),,,,,
20067,크루스,1979년 05월 28일,190cm/91kg,51,투수(우투우타),,,,,
20068,토레스,1980년 06월 14일,190cm/105kg,56,투수(우투우타),,,,,
20069,강민호,1985년 08월 18일,186cm/100kg,47,포수(우투우타),,,,,
20071,마에다,1988년 04월 11일,182cm/81kg,18,투수(우투우타),,,,,
20072,마키타,1984년 11월 10일,177cm/83kg,35,투수(우투우타),,,,,
20073,마스이,1984년 06월 26일,181cm/70kg,19,투수(우투우타),,,,,
20074,마츠이,1995년 10월 30일,174cm/74kg,10,투수(좌투좌타),,,,,
20075,니시,1990년 11월 10일,181cm/80kg,21,투수(우투우타),,,,,
20076,노리모토,1990년 12월 17일,178cm/82kg,14,투수(우투좌타),,,,,
20077,오노,1988년 09월 26일,183cm/78kg,22,투수(좌투좌타),,,,,
20078,오타니,1994년 07월 05일,193cm/90kg,16,투수(우투좌타),,,,,
20079,사와무라,1988년 04월 03일,183cm/98kg,15,투수(우투우타),,,,,
20080,스가노,1989년 10월 11일,185cm/90kg,11,투수(우투우타),,,,,
20081,다케다,1993년 04월 03일,186cm/85kg,30,투수(우투우타),,,,,
20082,야마자키,1992년 10월 02일,177cm/83kg,24,투수(우투우타),,,,,
20083,오가와,1990년 05월 16일,171cm/80kg,29,투수(우투우타),,,,,
20084,나카무라,1990년 06월 17일,176cm/83kg,52,포수(우투우타),,,,,
20085,시마,1984년 12월 13일,179cm/82kg,37,포수(우투우타),,,,,
20086,스미타니,1987년 07월 19일,180cm/93kg,27,포수(우투우타),,,,,
20087,가와바타,1987년 10월 16일,185cm/86kg,5,내야수(우투좌타),,,,,
20088,마츠다,1983년 05월 17일,180cm/89kg,3,내야수(우투우타),,,,,
20089,나카무라,1983년 08월 15일,175cm/102kg,60,내야수(우투우타),,,,,
20090,나카시마,1991년 01월 11일,176cm/70kg,9,내야수(우투좌타),,,,,
20091,나카타,1989년 04월 22일,183cm/100kg,13,내야수(우투우타),,,,,
20092,사카모토,1988년 12월 14일,186cm/83kg,6,내야수(우투우타),,,,,
20093,야마다,1992년 07월 16일,180cm/76kg,23,내야수(우투우타),,,,,
20094,아키야마,1988년 04월 16일,183cm/85kg,55,외야수(우투좌타),,,,,
20095,히라타,1988년 03월 23일,177cm/88kg,8,외야수(우투우타),,,,,
20096,츠츠고,1991년 11월 26일,185cm/97kg,25,외야수(우투좌타),,,,,
20097,나카무라,1989년 11월 05일,175cm/82kg,7,외야수(좌투좌타),,,,,
20098,이마미야,1991년 07월 15일,172cm/68kg,2,외야수(우투우타),,,,,
20099,배럿,1991년 06월 22일,0cm/0kg,22,투수(우투우타),,,,,
20100,처치,1986년 04월 11일,0cm/0kg,37,투수(우투우타),,,,,
20101,콜먼,1987년 07월 03일,0cm/0kg,5,투수(우투좌타),,,,,
20102,데나토,1992년 03월 17일,0cm/0kg,45,투수(좌투좌타),,,,,
20103,이브랜드,1983년 10월 29일,0cm/0kg,36,투수(좌투좌타),,,,,
20104,포사이스,1990년 09월 17일,0cm/0kg,50,투수(좌투좌타),,,,,
20105,그루브,1981년 05월 11일,0cm/0kg,34,투수(우투우타),,,,,
20106,래피,1985년 04월 15일,0cm/0kg,32,투수(좌투좌타),,,,,
20107,파운더스,1990년 09월 26일,0cm/0kg,35,투수(우투우타),,,,,
20108,새터와이트,1987년 01월 27일,0cm/0kg,55,투수(우투우타),,,,,
20109,세고비아,1983년 04월 11일,0cm/0kg,40,투수(우투우타),,,,,
20110,시먼스,1988년 06월 14일,0cm/0kg,17,투수(우투우타),,,,,
20111,스프루일,1989년 09월 11일,0cm/0kg,18,투수(우투우타),,,,,
20112,바스케스,1986년 09월 19일,0cm/0kg,15,투수(좌투좌타),,,,,
20113,웬델켄,1993년 03월 24일,0cm/0kg,14,투수(우투우타),,,,,
20114,윌커슨,1989년 05월 24일,0cm/0kg,31,투수(우투우타),,,,,
20115,모린,1991년 02월 07일,0cm/0kg,21,포수(우투좌타),,,,,
20116,롤핑,1989년 12월 02일,0cm/0kg,26,포수(우투우타),,,,,
20117,댄블랙,1987년 02월 07일,0cm/0kg,44,내야수(우투양타),,,,,
20118,프레이저,1991년 12월 14일,0cm/0kg,2,내야수(좌투우타),,,,,
20119,마틴,1992년 11월 13일,0cm/0kg,27,내야수(좌투좌타),,,,,
20120,패스토니키,1989년 12월 13일,0cm/0kg,8,내야수(우투우타),,,,,
20121,스클라파니,1990년 04월 22일,0cm/0kg,7,내야수(우투양타),,,,,
20122,소토,1989년 08월 21일,0cm/0kg,4,내야수(우투우타),,,,,
20123,아이브너,1988년 02월 12일,0cm/0kg,9,외야수(우투우타),,,,,
20124,메이,1992년 01월 23일,0cm/0kg,3,외야수(우투양타),,,,,
20125,맥브라이드,1985년 05월 23일,0cm/0kg,19,외야수(우투우타),,,,,
20126,필립스,1994년 05월 30일,0cm/0kg,6,외야수(우투좌타),,,,,
20127,카브레라,1981년 05월 28일,0cm/0kg,32,투수(우투우타),,,,,
20128,아라우호,1987년 11월 02일,0cm/0kg,10,투수(우투우타),,,,,
20129,크루스,1981년 06월 15일,0cm/0kg,17,투수(우투우타),,,,,
20130,데폴라,1982년 12월 31일,0cm/0kg,42,투수(우투우타),,,,,
20131,페르민,1985년 11월 02일,0cm/0kg,29,투수(우투우타),,,,,
20132,마테오,1989년 07월 27일,0cm/0kg,45,투수(우투우타),,,,,
20133,모리요,1983년 11월 05일,0cm/0kg,39,투수(우투우타),,,,,
20134,파잠프스,1994년 04월 07일,0cm/0kg,37,투수(우투우타),,,,,
20135,페레스,1985년 01월 20일,0cm/0kg,47,투수(좌투좌타),,,,,
20136,로드리게스,1991년 06월 06일,0cm/0kg,49,투수(우투우타),,,,,
20137,론돈,1988년 04월 19일,0cm/0kg,48,투수(좌투좌타),,,,,
20138,시렛트,1988년 12월 15일,0cm/0kg,51,투수(우투우타),,,,,
